function_name,module_name,target_function,return_line
try_find_army_out_of_position_move,BotCombatOps,try_find_army_out_of_position_move,"-        return BotCombatOps.try_find_army_out_of_position_move(self, defenseCriticalTileSet)"
try_find_expansion_move,BotExpansionOps,try_find_expansion_move,"-        return BotExpansionOps.try_find_expansion_move(self, defenseCriticalTileSet, timeLimit, forceBypassLaunch, overrideTurns)"
try_find_exploration_move,BotExpansionOps,try_find_exploration_move,"-        return BotExpansionOps.try_find_exploration_move(self, defenseCriticalTileSet)"
try_find_flank_all_in,BotCombatOps,try_find_flank_all_in,"-        return BotCombatOps.try_find_flank_all_in(self, hitGeneralAtTurn)"
try_find_main_timing_expansion_move_if_applicable,BotExpansionOps,try_find_main_timing_expansion_move_if_applicable,"-        return BotExpansionOps.try_find_main_timing_expansion_move_if_applicable(self, defenseCriticalTileSet)"
try_gather_tendrils_towards_enemy,BotExpansionOps,try_gather_tendrils_towards_enemy,"-        return BotExpansionOps.try_gather_tendrils_towards_enemy(self, turns)"
try_get_cyclic_all_in_move,BotCombatOps,try_get_cyclic_all_in_move,"-        return BotCombatOps.try_get_cyclic_all_in_move(self, defenseCriticalTileSet)"
try_get_enemy_territory_exploration_continuation_move,BotExpansionOps,try_get_enemy_territory_exploration_continuation_move,"-        return BotExpansionOps.try_get_enemy_territory_exploration_continuation_move(self, defenseCriticalTileSet)"
worth_attacking_target,BotCombatOps,worth_attacking_target,"-        return BotCombatOps.worth_attacking_target(self)"
worth_path_kill,BotCombatOps,worth_path_kill,"-        return BotCombatOps.worth_path_kill(self, pathKill, threatPath, analysis, cutoffDistance)"
